04E0    // 0: 0.30468750000000000000
04E8    // 1: 0.30664062500000000000
04EC    // 2: 0.30761718750000000000
04F0    // 3: 0.30859375000000000000
04F0    // 4: 0.30859375000000000000
04F0    // 5: 0.30859375000000000000
04F0    // 6: 0.30859375000000000000
04F0    // 7: 0.30859375000000000000
04F4    // 8: 0.30957031250000000000
04F4    // 9: 0.30957031250000000000
04F4    // 10: 0.30957031250000000000
04F4    // 11: 0.30957031250000000000
04F4    // 12: 0.30957031250000000000
04F4    // 13: 0.30957031250000000000
04F8    // 14: 0.31054687500000000000
04F4    // 15: 0.30957031250000000000
04F4    // 16: 0.30957031250000000000
04F4    // 17: 0.30957031250000000000
04F4    // 18: 0.30957031250000000000
04F4    // 19: 0.30957031250000000000
04F0    // 20: 0.30859375000000000000
04F0    // 21: 0.30859375000000000000
04EC    // 22: 0.30761718750000000000
04E8    // 23: 0.30664062500000000000
04E8    // 24: 0.30664062500000000000
04E8    // 25: 0.30664062500000000000
04E8    // 26: 0.30664062500000000000
04EC    // 27: 0.30761718750000000000
04EC    // 28: 0.30761718750000000000
04F0    // 29: 0.30859375000000000000
04F0    // 30: 0.30859375000000000000
04F4    // 31: 0.30957031250000000000
04F4    // 32: 0.30957031250000000000
04F8    // 33: 0.31054687500000000000
04FC    // 34: 0.31152343750000000000
04FC    // 35: 0.31152343750000000000
0500    // 36: 0.31250000000000000000
0500    // 37: 0.31250000000000000000
0500    // 38: 0.31250000000000000000
0504    // 39: 0.31347656250000000000
0504    // 40: 0.31347656250000000000
0504    // 41: 0.31347656250000000000
0504    // 42: 0.31347656250000000000
0504    // 43: 0.31347656250000000000
0504    // 44: 0.31347656250000000000
0504    // 45: 0.31347656250000000000
0504    // 46: 0.31347656250000000000
0504    // 47: 0.31347656250000000000
0504    // 48: 0.31347656250000000000
0500    // 49: 0.31250000000000000000
0500    // 50: 0.31250000000000000000
04FC    // 51: 0.31152343750000000000
04FC    // 52: 0.31152343750000000000
04F8    // 53: 0.31054687500000000000
04F8    // 54: 0.31054687500000000000
04F4    // 55: 0.30957031250000000000
04F0    // 56: 0.30859375000000000000
04EC    // 57: 0.30761718750000000000
04EC    // 58: 0.30761718750000000000
04E8    // 59: 0.30664062500000000000
04E4    // 60: 0.30566406250000000000
04E4    // 61: 0.30566406250000000000
04DC    // 62: 0.30371093750000000000
04D8    // 63: 0.30273437500000000000
04D0    // 64: 0.30078125000000000000
04CC    // 65: 0.29980468750000000000
04C4    // 66: 0.29785156250000000000
04C0    // 67: 0.29687500000000000000
04C0    // 68: 0.29687500000000000000
04C0    // 69: 0.29687500000000000000
04C0    // 70: 0.29687500000000000000
04C4    // 71: 0.29785156250000000000
04D0    // 72: 0.30078125000000000000
04DC    // 73: 0.30371093750000000000
04E8    // 74: 0.30664062500000000000
04F8    // 75: 0.31054687500000000000
0508    // 76: 0.31445312500000000000
0514    // 77: 0.31738281250000000000
0520    // 78: 0.32031250000000000000
0528    // 79: 0.32226562500000000000
052C    // 80: 0.32324218750000000000
052C    // 81: 0.32324218750000000000
052C    // 82: 0.32324218750000000000
052C    // 83: 0.32324218750000000000
052C    // 84: 0.32324218750000000000
0528    // 85: 0.32226562500000000000
0528    // 86: 0.32226562500000000000
0524    // 87: 0.32128906250000000000
0520    // 88: 0.32031250000000000000
0520    // 89: 0.32031250000000000000
051C    // 90: 0.31933593750000000000
051C    // 91: 0.31933593750000000000
0518    // 92: 0.31835937500000000000
0518    // 93: 0.31835937500000000000
0518    // 94: 0.31835937500000000000
0518    // 95: 0.31835937500000000000
0514    // 96: 0.31738281250000000000
0514    // 97: 0.31738281250000000000
0514    // 98: 0.31738281250000000000
0514    // 99: 0.31738281250000000000
0514    // 100: 0.31738281250000000000
0510    // 101: 0.31640625000000000000
0510    // 102: 0.31640625000000000000
0510    // 103: 0.31640625000000000000
050C    // 104: 0.31542968750000000000
050C    // 105: 0.31542968750000000000
050C    // 106: 0.31542968750000000000
0508    // 107: 0.31445312500000000000
0508    // 108: 0.31445312500000000000
0504    // 109: 0.31347656250000000000
0500    // 110: 0.31250000000000000000
0500    // 111: 0.31250000000000000000
04FC    // 112: 0.31152343750000000000
04F8    // 113: 0.31054687500000000000
